"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","029","Other goods and services","Base 2015=100","104.7126188"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01","Agricultural output price index","Base 2015=100","103.965263"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","011","Crop output","Base 2015=100","114.0837031"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0111","Cereals including seeds","Base 2015=100","111.6306469"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01121","Fruit and Vegetables","Base 2015=100","105.8648247"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0113","Potatoes including seeds","Base 2015=100","139.9647241"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","012","Animal output","Base 2015=100","102.639049"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0121","Animals","Base 2015=100","98.29264175"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01211","Cattle","Base 2015=100","92.58887462"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","012111","Cattle excluding calves","Base 2015=100","92.7143636"
